0	2	0
1	2	1
2	0	2
2	1	3
3	0	4
3	1	3
4	0	5
4	1	3
5	0	6
5	1	3
6	2	7
7	0	8
7	1	9
8	0	10
8	1	11
9	0	6
9	1	11
10	2	12
11	0	13
11	1	11
12	2	14
13	2	15
14	0	10
14	1	16
15	0	6
15	1	16
16	2	17
17	2	18
18	0	19
18	1	16
19	0	10
19	1	20
20	0	21
20	1	20
21	2	22
22	0	6
22	1	23
23	0	24
23	1	3
24	0	25
24	1	3
25	2	16
26	0	26
26	1	16
27	0	27
27	1	28
28	2	28
29	2	29
30	2	30
31	2	31
32	2	32
33	0	8
33	1	3
34	2	33
35	2	34
36	2	35
37	0	36
37	1	37
38	2	37
39	0	38
39	1	3
40	0	39
40	1	20
41	0	40
41	1	20
42	0	6
42	1	20
43	0	41
43	1	20
44	2	42
45	0	27
45	1	20
46	0	10
46	1	43
47	0	6
47	1	43
48	0	6
48	1	44
49	0	36
49	1	44
50	2	23
51	2	45
52	2	46
53	2	47
54	0	10
54	1	28
55	2	48
56	0	39
56	1	49
57	2	50
58	0	51
58	1	52
59	0	53
59	1	52
60	2	54
61	2	55
62	0	6
62	1	56
63	2	49
64	2	57
65	2	58
66	2	59
67	2	44
68	0	6
68	1	59
69	0	60
69	1	20
70	0	36
70	1	20
71	2	61
72	0	62
72	1	20
73	0	63
73	1	49
74	2	52
75	0	36
75	1	52
76	0	40
76	1	3
77	2	3
78	2	64
79	0	6
79	1	49
80	2	65
81	2	66
82	0	6
82	1	67
83	0	68
83	1	69
84	0	8
84	1	69
85	2	70
86	0	13
86	1	69
87	2	71
88	0	10
88	1	57
89	0	72
89	1	57
90	0	6
90	1	73
91	2	74
92	2	75
93	2	76
94	2	77
95	0	78
95	1	79
96	2	80
97	2	81
98	2	82
99	0	83
99	1	49
100	0	84
100	1	20
101	0	36
101	1	1
102	0	85
102	1	20
103	0	86
103	1	87
104	0	88
104	1	55
105	2	89
106	2	90
107	0	63
107	1	89
108	2	91
109	2	92
110	2	93
111	2	94
112	2	95
113	2	96
114	2	97
115	2	98
116	2	43
117	2	99
118	2	100
119	0	72
119	1	58
120	0	101
120	1	20
121	2	102
122	2	20
123	2	103
124	0	36
124	1	104
125	0	72
125	1	20
126	2	105
127	2	106
128	0	83
